"permalink","name","homepage_url","category_code","funding_total_usd","status","country_code","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","first_funding_at","last_funding_at","last_milestone_at","id"
"/company/8868","8868","http://www.8868.cn",,,"operating",,,"unknown",,1.0,,,,,"12/1/13","12/1/13",,1
"/company/21e6","2.10E+07",,,5050000.0,"operating","USA","CA","SF Bay","San Francisco",1.0,"1/1/13"," 2013-01 ","2013-Q1",2013.0,"11/17/13","11/17/13",,2
"/company/club-domains",".Club Domains","http://dotclub.com","software",7000000.0,"operating","USA","FL","Fort Lauderdale","Oakland Park",1.0,"10/10/11"," 2011-10 ","2011-Q4",2011.0,"5/31/13","5/31/13",,3
"/company/fox-networks",".Fox Networks","http://www.dotfox.com","advertising",4912394.0,"closed","ARG",,"Buenos Aires","Buenos Aires",1.0,,,,,"1/16/07","1/16/07","7/1/08",4
"/company/a-list-games","[a]list games","http://www.alistgames.com","games_video",9300000.0,"operating",,,"unknown",,1.0,,,,,"11/21/11","11/21/11",,5
"/company/pay-mobile-checkout","@Pay","http://atpay.com","mobile",3500000.0,"operating","USA","NM","Albuquerque","Albuquerque",1.0,"5/1/11"," 2011-05 ","2011-Q2",2011.0,"7/1/12","7/1/12","11/1/13",6
"/company/tv-communications","&TV Communications","http://enjoyandtv.com","games_video",4000000.0,"operating","USA","CA","Los Angeles","Los Angeles",2.0,,,,,"6/4/10","9/23/10",,7
"/company/waywire","#waywire","http://www.waywire.com","news",1750000.0,"acquired","USA","NY","New York","New York",1.0,"6/1/12"," 2012-06 ","2012-Q2",2012.0,"6/30/12","6/30/12","10/17/13",8
"/company/0-6-com","0-6.com","http://www.0-6.com","web",2000000.0,"operating",,,"unknown",,1.0,"1/1/07"," 2007-01 ","2007-Q1",2007.0,"3/19/08","3/19/08",,9
"/company/0xdata","0xdata","http://www.0xdata.com","analytics",1700000.0,"operating","USA","CA","SF Bay","Mountain View",1.0,"1/1/11"," 2011-01 ","2011-Q1",2011.0,"1/3/13","1/3/13","1/1/12",10
"/company/1-800-doctors","1-800-DOCTORS","http://1800doctors.com","health",1750000.0,"operating","USA","NJ","Iselin","Iselin",1.0,"1/1/84"," 1984-01 ","1984-Q1",1984.0,"3/2/11","3/2/11",,11
"/company/10-20-media","10-20 Media","http://www.10-20media.com","ecommerce",1550000.0,"operating","USA","MD","Washington DC","Woodbine",3.0,"1/1/01"," 2001-01 ","2001-Q1",2001.0,"3/30/10","12/28/11",,12
"/company/1000jobboersen-de","1000jobboersen.de","http://www.1000jobboersen.de","web",,"operating","DEU",,"Germany - Other",,1.0,,,,,"9/16/11","9/16/11",,13
"/company/1000memories","1000memories","http://1000memories.com","web",2535000.0,"acquired","USA","CA","SF Bay","San Francisco",2.0,"7/1/10"," 2010-07 ","2010-Q3",2010.0,"1/1/10","2/16/11","7/4/13",14
"/company/1000museums-com","1000museums.com","http://www.1000museums.com","web",4196711.0,"operating","USA","WA","Seattle","Bellevue",3.0,"1/1/08"," 2008-01 ","2008-Q1",2008.0,"4/5/11","1/15/14","2/16/13",15
"/company/1001-menus","1001 Menus","http://1001menus.com","web",1736910.0,"operating","FRA",,"Paris","Paris",1.0,"11/20/10"," 2010-11 ","2010-Q4",2010.0,"11/13/13","11/13/13","1/1/13",16
"/company/100du-tv","100du.tv","http://www.100du.com","hospitality",3000000.0,"operating",,,"unknown",,2.0,,,,,"1/7/08","8/13/10",,17
"/company/100e-com","100e.com","http://www.100e.com","education",3000000.0,"operating","CHN",,"Beijing","Beijing",1.0,,,,,"1/1/06","1/1/06",,18
"/company/100plus","100Plus","http://www.100plus.com","analytics",1250000.0,"acquired","USA","CA","SF Bay","San Francisco",2.0,"9/16/11"," 2011-09 ","2011-Q3",2011.0,"11/2/11","11/30/11","2/27/13",19
"/company/1010data","1010data","http://www.1010data.com","software",3.5E7,"operating","USA","NY","New York","New York",1.0,"1/1/00"," 2000-01 ","2000-Q1",2000.0,"3/8/10","3/8/10","1/1/12",20
"/company/10bestthings","10BestThings","http://10bestthings.com","web",50000.0,"closed","USA","OH","Cleveland","Cleveland",1.0,"4/1/09"," 2009-04 ","2009-Q2",2009.0,"4/1/09","4/1/09",,21
"/company/10x-technologies","10X Technologies","http://10xtechnologies.com","biotech",3000000.0,"operating","USA","CA","SF Bay","Oakland",1.0,"1/1/12"," 2012-01 ","2012-Q1",2012.0,"11/7/12","11/7/12",,22
"/company/10x10-room","10X10 Room","http://10x10room.com","software",77500.0,"operating","USA","MA","Boston","Lexington",1.0,"1/1/10"," 2010-01 ","2010-Q1",2010.0,"10/12/11","10/12/11",,23
"/company/121cast","121cast","http://www.121cast.com","mobile",270000.0,"operating","AUS",,"Melbourne","Melbourne",2.0,"2/1/12"," 2012-02 ","2012-Q1",2012.0,"5/1/12","11/13/12","11/15/12",24
"/company/1234enter","1234ENTER","http://www.1234enter.com.br","ecommerce",650267.0,"operating","BRA",,"Brazil - Other",,2.0,"1/1/12"," 2012-01 ","2012-Q1",2012.0,"9/1/12","11/22/13",,25
"/company/123contactform","123ContactForm","http://www.123contactform.com","web",,"operating","ROM",,"Timisoara","Timisoara",1.0,"1/1/08"," 2008-01 ","2008-Q1",2008.0,"1/1/10","1/1/10","1/1/11",26
